2014-05-14 11:02:59,425 INFO     cs.LSA.LSAStrategy: LSA Initialized
2014-05-14 11:02:59,428 INFO     godb.MongoDBCorpus: initializing MongoDB corpus.
2014-05-14 11:02:59,430 INFO     godb.MongoDBCorpus: corpus has been initialized
2014-05-14 11:02:59,430 DEBUG    rol.CoreController: connecting to data supply...
2014-05-14 11:02:59,431 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-14 11:02:59,448 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-14 11:02:59,448 INFO     rol.CoreController: running reactor.
2014-05-14 11:03:04,431 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-14 11:03:04,434 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-14 11:03:09,432 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-14 11:03:09,435 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-14 11:03:14,431 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-14 11:03:14,434 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
