2014-05-27 21:21:00,803 INFO     godb.MongoDBCorpus: initializing MongoDB corpus.
2014-05-27 21:21:00,804 INFO     godb.MongoDBCorpus: corpus has been initialized
2014-05-27 21:21:00,805 INFO     rol.CoreController: Connecting to data collect node.
2014-05-27 21:21:00,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:00,824 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:00,824 INFO     rol.CoreController: Starting update loop.
2014-05-27 21:21:00,825 INFO     rol.CoreController: running reactor.
2014-05-27 21:21:05,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:05,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:10,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:10,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:15,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:15,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:20,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:20,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:25,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:25,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:30,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:30,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:35,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:35,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:40,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:40,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:45,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:45,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:50,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:50,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:21:55,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:21:55,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:00,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:00,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:05,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:05,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:10,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:10,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:15,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:15,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:20,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:20,808 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:25,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:25,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:30,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:30,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:35,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:35,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:40,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:40,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:45,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:45,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:50,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:50,808 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:22:55,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:22:55,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:00,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:00,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:05,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:05,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:10,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:10,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:15,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:15,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:20,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:20,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:25,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:25,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:30,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:30,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:35,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:35,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:40,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:40,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:45,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:45,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:50,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:50,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:23:55,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:23:55,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:00,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:00,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:00,835 INFO     rol.CoreController: running update iteration, got 7 documents from collector.
2014-05-27 21:24:00,835 DEBUG    ol.StrategyManager: Got all results. Merging.. 
2014-05-27 21:24:00,841 INFO     rol.CoreController: finished updating. Notifying listeners.
2014-05-27 21:24:05,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:05,808 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:10,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:10,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:15,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:15,808 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:20,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:24:20,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:24:25,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
